"","res","",""
"288","31","5","00000"
"289","31","7","1011111"
"290","31","7","1111111"
"291","31","6","110110"
"292","31","7","1101101"
"293","32","3","10"
"294","32","5","11111"
"295","32","5","01111"
"296","32","4","1111"
"297","32","6","111111"
"298","32","5","11111"
"299","32","5","11111"
"300","32","7","1111111"
"301","32","7","1111111"
"302","32","7","1111111"
"303","33","3","010"
"304","33","10","1111101111"
"305","33","6","011111"
"306","33","7","1101111"
"307","33","4","1111"
"308","34","3","1"
"309","34","3","1"
"310","34","3","1"
"311","34","3","1"
"312","34","4","1111"
"313","34","5","11111"
"314","34","4","1111"
"315","34","4","1111"
"316","35","9","110111111"
"317","35","10","1110111111"
"318","35","9","111111111"
"319","35","8","11111111"
"320","35","7","0011111"
"321","35","4","1101"
"322","36","3","11111"
"323","36","3","11111"
"324","36","7","1011111"
"325","36","8","11111111"
"326","36","6","011011"
"327","36","8","10111111"
"328","36","8","11111111"
"329","36","4","0111"
"330","36","7","1111111"
"331","36","7","1111111"
"332","36","7","1111011"
"333","36","5","00000"
"334","37","3","11"
"335","37","5","11101"
"336","37","4","1111"
"337","37","4","1111"
"338","37","5","11111"
"339","37","3","101"
"340","37","4","1111"
"341","37","4","1111"
"342","37","3","000"
"343","38","3","1"
"344","38","4","1111"
"345","38","4","1001"
"346","38","3","111"
"347","39","4","111"
"348","39","4","111"
"349","39","4","1111"
"350","39","6","010111"
"351","39","6","010111"
"352","40","5","11111"
"353","40","5","11111"
"354","40","4","1101"
"355","40","3","111"
"356","41","4","1"
"357","41","4","1"
"358","41","4","1"
"359","41","4","1"
"360","41","6","111111"
"361","41","12","111111111111"
"362","42","4","1110"
"363","43","4","1111"
"364","43","3","111"
"365","43","3","111"
"366","43","10","1111111111"
"367","43","7","0000000"
"368","43","12","111011111111"
"369","43","10","1111111111"
"370","43","6","000000"
"371","43","5","11111"
"372","43","5","11101"
"373","44","3","1"
"374","44","13","1111111101011"
"375","44","6","000000"
"376","44","6","000010"
"377","44","6","000000"
"378","44","5","11011"
"379","44","3","011"
"380","45","3","1"
"381","45","3","011"
"382","45","7","1111111"
"383","46","4","0"
"384","46","4","0"
"385","46","4","0"
"386","46","4","0"
"387","46","6","111111"
"388","46","7","1111111"
"389","46","12","111111111111"
"390","46","11","11111111111"
"391","46","11","11111111111"
"392","46","10","1111111111"
"393","46","11","10111111111"
"394","46","9","111111111"
"395","46","9","111111111"
"396","46","7","0000000"
"397","46","7","1101000"
"398","46","5","11111"
"399","46","4","1111"
"400","46","4","1111"
"401","46","4","1111"
"402","47","8","11000011"
"403","48","5","1"
"404","48","6","000000"
"405","48","9","000000000"
"406","48","4","0001"
"407","49","5","10111"
"408","49","5","11111"
"409","49","7","1001010"
"410","49","7","1111111"
"411","49","8","11111111"
"412","50","8","00000000"
