"","res","",""
"2695","949","7","1111111"
"2696","949","3","010"
"2697","950","6","0"
"2698","950","6","110110"
"2699","950","5","11111"
"2700","950","3","000"
"2701","950","3","000"
"2702","950","3","000"
"2703","950","7","0011111"
"2704","950","4","0000"
"2705","950","10","0011000000"
"2706","950","11","01100000000"
"2707","950","7","0000000"
"2708","950","7","0000000"
"2709","950","8","11110100"
"2710","950","8","11111111"
"2711","950","8","11111111"
"2712","950","8","00000000"
"2713","950","6","111011"
"2714","950","4","0010"
"2715","951","4","10"
"2716","951","6","000000"
"2717","952","3","10"
"2718","952","3","10"
"2719","952","8","11101111"
"2720","952","3","000"
"2721","952","4","0000"
"2722","952","8","10111111"
"2723","952","5","00000"
"2724","952","4","1001"
"2725","952","6","111111"
"2726","952","4","1000"
"2727","952","5","11111"
"2728","952","3","101"
"2729","953","5","11111"
"2730","953","6","111110"
"2731","953","6","111111"
"2732","953","6","111111"
"2733","953","7","1111100"
"2734","953","6","111110"
"2735","953","3","110"
"2736","953","4","1101"
"2737","953","4","1111"
"2738","953","4","1111"
"2739","953","3","111"
"2740","954","4","0000"
"2741","954","4","1111"
"2742","954","8","11110010"
"2743","954","5","11111"
"2744","954","13","1111110111100"
"2745","954","16","1111111100011111"
"2746","954","13","0011011111011"
"2747","954","10","0000000000"
"2748","954","10","0000001010"
"2749","954","10","1111111111"
"2750","955","3","1"
"2751","955","3","1"
"2752","955","3","1"
"2753","955","6","000000"
"2754","955","5","10001"
"2755","955","5","00000"
"2756","955","4","0011"
"2757","955","6","111111"
"2758","955","4","0000"
"2759","955","4","1111"
"2760","955","4","0011"
"2761","955","8","00000000"
"2762","955","6","111000"
"2763","956","7","0000010"
"2764","956","6","000010"
"2765","957","6","000000"
"2766","957","10","1111111110"
"2767","957","10","1111111110"
"2768","957","10","1011111111"
"2769","957","11","11110111110"
"2770","957","12","111011111000"
"2771","957","7","0011111"
"2772","957","7","1011111"
"2773","957","4","1111"
"2774","958","3","000"
"2775","958","5","00000"
"2776","958","10","0000000000"
"2777","958","11","00000000000"
"2778","958","9","000000000"
"2779","958","6","001101"
"2780","959","7","1111111"
"2781","959","8","01111111"
"2782","959","9","111111111"
"2783","959","6","101111"
"2784","959","6","011111"
"2785","959","7","1111111"
"2786","959","8","11111111"
"2787","959","8","11111111"
"2788","959","10","1111111111"
"2789","959","7","1111111"
"2790","959","8","11111111"
"2791","960","3","011111"
"2792","960","4","011111"
"2793","960","7","1011111"
"2794","960","5","11111"
"2795","960","10","1111111111"
"2796","960","9","111111111"
"2797","960","8","11111111"
"2798","960","5","11111"
"2799","960","3","111"
"2800","961","3","0"
"2801","961","4","0111"
"2802","961","10","1111111111"
"2803","961","8","11111111"
"2804","961","10","1111111110"
"2805","961","11","11110111111"
"2806","961","9","110111111"
"2807","962","9","0"
"2808","962","9","000010000"
"2809","962","7","0000000"
"2810","962","7","0000000"
"2811","962","12","000000000000"
"2812","962","3","000"
"2813","962","3","000"
"2814","963","3","00"
"2815","963","4","1111"
"2816","963","4","1111"
"2817","963","7","1111111"
"2818","963","6","111111"
"2819","963","6","111111"
"2820","963","8","11111111"
"2821","963","4","1111"
"2822","964","7","0000000"
"2823","964","7","0000000"
"2824","964","3","100"
"2825","964","7","0000000"
"2826","964","5","00000"
"2827","964","7","0000000"
"2828","965","4","0000"
"2829","965","5","11111"
"2830","965","4","1110"
"2831","965","3","000"
"2832","966","4","0011"
"2833","966","3","111"
"2834","967","4","1"
"2835","967","3","1"
"2836","967","6","1"
"2837","967","3","110"
"2838","967","8","11111111"
"2839","967","6","111110"
"2840","967","7","1111101"
"2841","967","8","11111111"
"2842","967","5","11111"
"2843","967","8","11111111"
"2844","967","7","1111111"
"2845","968","6","000001"
"2846","968","8","00101000"
"2847","968","9","000000000"
"2848","969","4","000"
"2849","969","4","000"
"2850","969","4","000"
"2851","969","10","1011111111"
"2852","969","14","00000000100000"
"2853","969","11","00000100010"
"2854","969","7","0000000"
"2855","969","6","000000"
"2856","969","6","000100"
"2857","969","4","0000"
"2858","969","5","00000"
"2859","969","5","11111"
"2860","969","4","0000"
"2861","969","4","0100"
"2862","970","3","000"
"2863","970","3","010"
"2864","970","5","00000"
"2865","970","5","00000"
"2866","970","6","000000"
"2867","970","5","00000"
"2868","970","6","000000"
"2869","970","3","010"
"2870","970","5","01001"
"2871","970","3","000"
"2872","970","8","00001000"
"2873","970","4","0000"
"2874","970","4","0000"
"2875","971","8","0"
"2876","971","8","00010000"
"2877","971","6","000000"
"2878","971","10","0000000000"
"2879","971","6","000000"
"2880","972","4","000"
"2881","972","6","000000"
"2882","972","9","000011110"
"2883","972","8","01111000"
"2884","972","5","00010"
"2885","972","4","0100"
"2886","972","3","000"
"2887","972","3","111"
"2888","972","3","111"
"2889","972","9","000000000"
"2890","972","8","11110000"
"2891","972","8","00000000"
"2892","972","8","11110000"
"2893","972","8","00100000"
"2894","972","7","0000100"
"2895","972","4","1110"
"2896","973","3","1"
"2897","973","5","11111"
"2898","973","4","0000"
"2899","973","5","11111"
"2900","973","6","111111"
"2901","974","3","110101101000"
"2902","974","4","110101101000"
"2903","974","17","00000000000000000"
"2904","974","18","000000000000000000"
"2905","974","15","000000000000000"
"2906","974","15","000000000000000"
"2907","974","14","00000000000000"
"2908","974","11","00000000000"
"2909","974","9","110110111"
"2910","974","16","0000000000000000"
"2911","974","11","00001001001"
"2912","974","11","00000000000"
"2913","974","10","0000000000"
"2914","974","13","0000000000000"
"2915","974","4","0000"
"2916","974","11","00000000000"
"2917","974","11","00000000000"
"2918","974","3","000"
"2919","975","3","111"
"2920","975","4","1111"
"2921","976","4","0"
"2922","976","4","0"
"2923","977","5","11000"
"2924","977","3","110"
"2925","977","4","1001"
"2926","977","4","1011"
"2927","977","4","0100"
"2928","977","6","100111"
"2929","977","6","100000"
"2930","977","5","00000"
"2931","977","6","000000"
"2932","977","3","011"
"2933","977","4","0000"
"2934","977","5","00000"
"2935","978","3","000"
"2936","978","5","000"
"2937","978","3","000"
"2938","978","3","001"
"2939","978","3","111"
"2940","978","3","111"
"2941","979","8","11111111"
"2942","979","8","11111111"
"2943","979","7","0000000"
"2944","979","7","1111111"
"2945","979","6","111101"
"2946","979","5","11101"
"2947","980","5","11011"
"2948","980","7","1101111"
"2949","980","5","11110"
"2950","980","3","101"
"2951","980","3","110"
"2952","980","3","100"
"2953","980","4","1010"
"2954","980","3","000"
"2955","980","4","1110"
"2956","981","9","111111111"
"2957","981","8","11111101"
"2958","981","5","11111"
"2959","981","4","1111"
"2960","981","7","1111011"
"2961","981","9","111111111"
"2962","981","10","1111111101"
"2963","981","3","111"
"2964","981","3","110"
"2965","982","4","1111"
"2966","983","5","11111"
"2967","983","3","111"
"2968","983","4","1110"
"2969","984","5","11101"
"2970","984","5","11101"
"2971","984","6","111101"
"2972","984","4","1111"
"2973","984","4","1111"
"2974","984","5","11011"
"2975","984","5","11111"
"2976","984","5","11111"
"2977","984","6","101111"
"2978","984","6","111111"
"2979","984","7","1111111"
"2980","984","5","11111"
"2981","984","4","1110"
"2982","985","3","0"
"2983","985","3","0"
"2984","985","3","0"
"2985","985","4","1111"
"2986","985","4","1111"
"2987","985","5","10111"
"2988","985","4","1111"
"2989","985","3","111"
"2990","985","4","1111"
"2991","985","4","1111"
"2992","986","4","1011"
"2993","986","4","1111"
"2994","986","5","11111"
"2995","986","6","111011"
"2996","986","4","1110"
"2997","986","4","1011"
"2998","986","4","1111"
"2999","986","4","1111"
"3000","986","4","1110"
"3001","986","4","1110"
"3002","986","4","1111"
"3003","986","4","1111"
"3004","986","4","1111"
"3005","986","4","0000"
"3006","986","4","1110"
"3007","986","4","0000"
"3008","987","4","0111"
"3009","987","4","1111"
"3010","987","6","011111"
"3011","987","6","011111"
"3012","987","6","011111"
"3013","987","5","00000"
"3014","988","3","11"
"3015","988","7","11"
"3016","988","10","1111111101"
"3017","988","8","11011111"
"3018","988","3","111"
"3019","988","3","111"
"3020","988","8","00000000"
"3021","988","6","011111"
"3022","989","4","1111"
"3023","989","6","111111"
"3024","989","5","11111"
"3025","989","6","111101"
"3026","989","3","111"
"3027","990","7","1010011"
"3028","990","5","11111"
"3029","990","5","10111"
"3030","990","4","0111"
"3031","991","5","10011"
"3032","991","6","110111"
"3033","991","8","10111111"
"3034","991","7","1111011"
"3035","992","3","011"
"3036","992","3","110"
"3037","992","6","111111"
"3038","992","5","11101"
"3039","992","5","11111"
"3040","992","6","111111"
"3041","992","7","0111110"
"3042","993","4","1111"
"3043","993","6","000000"
"3044","993","3","001"
"3045","993","8","00000000"
"3046","993","6","000000"
"3047","993","6","001011"
"3048","993","4","1000"
"3049","993","3","000"
"3050","994","8","01111111"
"3051","994","10","1111111111"
"3052","994","7","1111000"
"3053","994","5","01100"
"3054","994","5","01100"
"3055","994","4","1100"
"3056","994","7","0111111"
"3057","994","7","1111100"
"3058","994","6","111011"
"3059","994","6","111111"
"3060","994","6","111111"
"3061","995","4","0111"
"3062","995","4","1101"
"3063","995","3","111"
"3064","995","3","110"
"3065","995","6","111111"
"3066","995","5","11111"
"3067","995","8","11111111"
"3068","995","8","11111111"
"3069","995","7","1111111"
"3070","995","7","0111100"
"3071","995","5","11010"
"3072","995","4","1101"
"3073","995","6","111111"
"3074","995","6","111111"
"3075","995","8","10000000"
"3076","995","8","01111111"
"3077","995","7","0000000"
"3078","996","11","00000000000"
"3079","996","13","0000000000000"
"3080","996","16","0000000000000000"
"3081","996","9","001000000"
"3082","996","8","10010100"
"3083","996","8","11011110"
"3084","996","9","010000000"
"3085","996","8","01010000"
"3086","996","5","01110"
"3087","996","5","00000"
"3088","997","3","111"
"3089","998","4","1"
"3090","998","10","1111111111"
"3091","998","10","1111111111"
"3092","998","6","111111"
"3093","998","6","111111"
"3094","998","5","11111"
"3095","999","9","100111111"
"3096","999","11","10100000000"
"3097","999","8","00111111"
"3098","999","9","011001110"
"3099","999","11","00000000000"
"3100","999","11","00000000000"
"3101","999","11","00000000000"
"3102","999","5","00000"
"3103","999","11","00000000000"
"3104","999","10","0000000000"
"3105","999","8","00000000"
"3106","1000","12","111111111111"
"3107","1000","7","1111111"
"3108","1001","5","00000"
"3109","1001","5","10000"
"3110","1001","6","000000"
"3111","1001","11","00000000000"
"3112","1001","7","0111001"
"3113","1001","13","0111110111111"
"3114","1001","6","000000"
"3115","1001","7","0000000"
"3116","1001","10","0000000000"
"3117","1001","11","00000000000"
"3118","1001","5","00000"
"3119","1002","4","0000"
"3120","1002","4","0000"
"3121","1004","3","111"
"3122","1004","3","011"
"3123","1004","3","110"
"3124","1005","4","1111"
"3125","1005","5","11111"
"3126","1005","5","11111"
"3127","1005","5","11111"
"3128","1005","4","0000"
"3129","1005","4","1111"
"3130","1006","3","00"
"3131","1006","5","10111"
"3132","1006","4","0000"
"3133","1006","7","1111111"
"3134","1006","7","1011111"
"3135","1006","6","111111"
"3136","1006","5","11111"
"3137","1006","6","111111"
"3138","1006","6","111111"
"3139","1006","4","0000"
"3140","1006","4","1111"
"3141","1006","4","1111"
"3142","1006","4","1111"
"3143","1006","4","1111"
"3144","1006","3","111"
"3145","1006","3","111"
"3146","1006","3","111"
"3147","1006","3","111"
"3148","1007","4","0011"
"3149","1007","4","1100"
"3150","1007","4","1001"
"3151","1007","8","10111111"
"3152","1007","3","101"
"3153","1008","4","00000000000000"
"3154","1008","7","00000000000000"
"3155","1008","6","00000000000000"
"3156","1008","9","011111111"
"3157","1008","9","011111111"
"3158","1008","11","11111101111"
"3159","1008","10","1110111111"
"3160","1008","3","111"
"3161","1008","3","000"
"3162","1008","4","1111"
"3163","1008","7","1111111"
"3164","1008","7","1111111"
"3165","1008","7","1111111"
"3166","1008","5","11111"
"3167","1009","4","00"
"3168","1009","4","1111"
"3169","1009","4","1111"
"3170","1009","5","11111"
"3171","1009","5","01111"
"3172","1009","4","1111"
"3173","1009","4","1111"
"3174","1010","4","00000"
"3175","1010","5","00000"
"3176","1010","9","111111111"
"3177","1010","6","011111"
"3178","1010","4","1111"
"3179","1010","3","111"
"3180","1011","5","1"
"3181","1011","5","1"
"3182","1011","5","1"
"3183","1011","3","000"
"3184","1011","6","111111"
"3185","1011","6","100111"
"3186","1011","6","100111"
"3187","1011","6","111111"
"3188","1011","6","000000"
"3189","1011","8","01111111"
"3190","1011","5","11111"
"3191","1011","4","1111"
"3192","1011","3","111"
"3193","1012","3","111"
"3194","1012","4","111"
"3195","1012","7","0111111"
"3196","1012","6","111111"
"3197","1012","5","11111"
"3198","1013","3","1"
"3199","1013","6","1"
"3200","1013","4","1111"
"3201","1013","5","11111"
"3202","1013","3","000"
"3203","1014","3","111"
"3204","1015","8","11111111"
"3205","1015","5","00000"
"3206","1015","5","11110"
"3207","1015","5","11111"
"3208","1015","3","111"
"3209","1015","3","111"
"3210","1015","6","111111"
"3211","1015","7","1111111"
"3212","1015","5","01000"
"3213","1016","5","11"
"3214","1016","5","11101"
"3215","1016","6","110111"
"3216","1016","5","00000"
"3217","1016","5","00000"
"3218","1016","6","111111"
"3219","1017","6","1111111"
"3220","1017","5","00000"
"3221","1017","3","111"
"3222","1017","5","11111"
"3223","1018","4","1111"
"3224","1018","4","1111"
"3225","1018","4","1111"
"3226","1018","4","1111"
"3227","1018","3","101"
"3228","1019","3","1"
"3229","1019","3","1"
"3230","1019","4","1111"
"3231","1019","3","111"
"3232","1019","3","111"
"3233","1019","3","111"
"3234","1019","3","111"
"3235","1019","6","110111"
"3236","1019","5","11111"
"3237","1019","5","11111"
"3238","1019","5","11111"
"3239","1019","6","111111"
"3240","1019","6","100111"
"3241","1019","3","111"
"3242","1019","4","1111"
"3243","1019","4","1101"
"3244","1019","3","110"
"3245","1019","3","111"
"3246","1019","3","000"
"3247","1019","3","110"
"3248","1020","5","1"
"3249","1020","4","1111"
"3250","1020","4","1111"
"3251","1020","5","11111"
"3252","1020","4","0111"
"3253","1021","4","1111"
"3254","1021","4","1111"
"3255","1021","4","1111"
"3256","1021","4","0000"
"3257","1021","5","11111"
"3258","1021","4","1111"
"3259","1022","5","10011"
"3260","1022","6","111011"
"3261","1022","5","11110"
"3262","1022","5","11111"
"3263","1022","5","10111"
"3264","1022","5","10111"
"3265","1022","4","1111"
"3266","1022","6","111111"
"3267","1022","5","11111"
"3268","1022","5","11111"
"3269","1022","5","11111"
"3270","1022","5","11111"
"3271","1023","8","00000000"
"3272","1023","6","111011"
"3273","1024","7","0"
"3274","1024","7","1111111"
"3275","1024","5","00000"
"3276","1025","7","1111111"
"3277","1025","8","11111111"
"3278","1026","3","0"
"3279","1026","9","111111111"
"3280","1026","7","0000000"
"3281","1026","5","11111"
"3282","1026","5","00000"
"3283","1026","4","0000"
"3284","1026","5","11111"
"3285","1026","13","1111001110101"
"3286","1026","7","1111111"
"3287","1027","10","1111111111"
"3288","1027","10","1111111111"
"3289","1027","7","1111111"
"3290","1027","5","11110"
"3291","1027","4","1111"
"3292","1027","5","10111"
"3293","1027","5","11111"
"3294","1027","4","1111"
"3295","1027","3","111"
"3296","1028","11","11111111111"
"3297","1028","10","0111110111"
"3298","1028","9","111110111"
"3299","1028","5","11101"
"3300","1028","3","111"
"3301","1028","4","1111"
"3302","1028","6","111111"
"3303","1028","6","011111"
"3304","1028","3","111"
"3305","1029","10","1111111111"
"3306","1029","11","11111111110"
"3307","1029","8","00000000"
"3308","1029","8","01111111"
"3309","1029","8","00000000"
"3310","1029","6","000000"
"3311","1029","4","1111"
"3312","1029","4","0000"
"3313","1029","5","11111"
"3314","1030","4","0"
"3315","1030","8","0"
"3316","1030","10","1111111111"
"3317","1030","5","00000"
"3318","1030","10","1111111111"
"3319","1030","7","0000000"
"3320","1030","6","000000"
"3321","1031","4","0000"
"3322","1031","5","11111"
"3323","1031","5","10011"
"3324","1031","6","111111"
"3325","1031","4","0000"
"3326","1032","3","11"
"3327","1032","12","011101111111"
"3328","1032","13","1111111111111"
"3329","1032","12","111011111111"
"3330","1032","4","1111"
"3331","1032","4","1111"
"3332","1032","4","1111"
"3333","1032","4","1110"
"3334","1032","6","111111"
"3335","1032","5","11111"
"3336","1032","4","1111"
"3337","1032","3","111"
"3338","1033","9","000000000"
"3339","1033","9","001011111"
"3340","1033","8","11100010"
"3341","1033","7","1111110"
"3342","1033","7","1100010"
"3343","1033","9","111111011"
"3344","1033","8","11011111"
"3345","1033","4","0111"
"3346","1033","4","0000"
"3347","1033","4","1111"
"3348","1034","7","1111111"
"3349","1034","7","1111111"
"3350","1034","7","1111111"
"3351","1034","7","0000000"
"3352","1034","4","0100"
"3353","1035","3","0"
"3354","1035","4","0"
"3355","1035","7","1111111"
"3356","1035","5","11111"
"3357","1035","6","111111"
"3358","1035","8","11111111"
"3359","1035","19","1101111111111111011"
"3360","1036","3","111"
"3361","1036","7","1111111"
"3362","1037","4","1110"
"3363","1037","7","1111111"
"3364","1037","8","11111111"
"3365","1037","7","1111111"
"3366","1039","11","11111111111"
"3367","1039","10","1111111111"
"3368","1039","7","1111111"
"3369","1039","4","1101"
"3370","1039","3","111"
"3371","1040","4","1111"
"3372","1040","6","111111"
"3373","1040","5","11111"
"3374","1040","11","00111111111"
"3375","1040","9","111011111"
"3376","1040","8","11011111"
"3377","1040","5","11110"
"3378","1040","7","1111100"
"3379","1040","6","111111"
"3380","1040","5","11100"
"3381","1041","7","1101111"
"3382","1041","6","000000"
"3383","1041","9","111111111"
"3384","1041","9","111111111"
"3385","1041","7","1111111"
"3386","1041","6","111111"
"3387","1041","6","111111"
"3388","1041","6","000000"
"3389","1041","5","11111"
"3390","1041","5","11110"
"3391","1041","4","1110"
"3392","1041","3","111"
"3393","1041","3","111"
"3394","1041","3","111"
"3395","1041","3","111"
"3396","1042","9","101111111"
"3397","1042","3","111"
"3398","1043","5","11100"
"3399","1043","3","100"
"3400","1043","9","111111011"
"3401","1043","3","111"
"3402","1044","5","11111"
"3403","1044","7","1111111"
"3404","1044","5","00000"
"3405","1044","6","011111"
"3406","1045","5","1111"
"3407","1045","6","111111"
"3408","1045","5","11111"
"3409","1045","9","111111111"
"3410","1045","9","111111111"
"3411","1045","7","1111111"
"3412","1045","7","1111111"
"3413","1045","4","0000"
"3414","1045","7","1111101"
"3415","1045","9","111111111"
"3416","1045","8","11111111"
"3417","1045","9","111111111"
"3418","1045","8","10010111"
"3419","1045","6","111111"
"3420","1045","7","1101111"
"3421","1045","6","000000"
"3422","1046","4","0000"
"3423","1046","5","01111"
"3424","1046","3","111"
"3425","1046","8","11111111"
"3426","1047","4","0"
"3427","1047","5","0"
"3428","1047","7","1111111"
"3429","1047","6","000000"
"3430","1047","7","0111111"
"3431","1047","6","111111"
"3432","1047","5","11110"
"3433","1047","7","1110111"
"3434","1047","3","111"
"3435","1048","3","0"
"3436","1048","3","0"
"3437","1048","6","0"
"3438","1048","3","0"
"3439","1048","7","0000000"
"3440","1048","4","0000"
"3441","1048","5","11111"
"3442","1048","5","11111"
"3443","1048","4","1111"
"3444","1049","4","0000"
"3445","1049","5","10111"
"3446","1049","5","11111"
"3447","1049","4","0111"
"3448","1049","3","111"
"3449","1049","4","1111"
"3450","1049","6","110011"
"3451","1050","10","0000000000"
"3452","1050","10","0000001000"
"3453","1050","8","00000000"
"3454","1050","8","00001100"
"3455","1050","9","010010010"
"3456","1050","6","000100"
"3457","1050","5","00000"
"3458","1050","4","0011"
"3459","1050","3","011"
"3460","1050","3","011"
"3461","1050","3","011"
"3462","1050","3","011"
"3463","1050","3","011"
"3464","1051","5","0"
"3465","1051","4","0"
"3466","1051","5","0"
"3467","1051","7","0110101"
"3468","1051","7","0011000"
"3469","1051","11","00000100000"
"3470","1051","10","0110000000"
"3471","1052","5","00000000000"
"3472","1052","4","1111"
"3473","1052","3","111"
"3474","1053","7","100"
"3475","1053","11","100"
"3476","1053","21","100"
"3477","1053","18","000000000000000000"
"3478","1053","18","000000000000000000"
"3479","1053","11","00000000000"
"3480","1053","10","0000000000"
"3481","1053","12","000000000000"
"3482","1053","11","00000000000"
"3483","1053","16","0000000000000000"
"3484","1053","10","0000000000"
"3485","1053","11","00000000000"
"3486","1054","16","1"
"3487","1054","11","00000000000"
"3488","1054","11","01000001100"
"3489","1054","11","01000001100"
"3490","1054","5","00000"
"3491","1055","8","00000"
"3492","1055","3","101"
"3493","1055","7","0000000"
"3494","1056","5","11111"
"3495","1056","10","1111111110"
"3496","1056","8","11111111"
"3497","1057","3","001"
"3498","1057","4","0000"
"3499","1057","4","0000"
"3500","1057","5","00000"
"3501","1057","9","000000000"
"3502","1057","8","00010000"
"3503","1057","10","0000000000"
"3504","1057","7","0000000"
"3505","1057","4","0110"
"3506","1058","6","111111"
"3507","1058","12","000000000000"
"3508","1058","12","000000000000"
"3509","1058","14","00000000000001"
"3510","1058","12","000000000000"
"3511","1058","7","0000000"
"3512","1058","4","0000"
"3513","1059","3","0"
"3514","1059","4","0"
"3515","1059","4","0"
"3516","1059","4","0"
"3517","1059","3","111"
"3518","1059","4","1111"
"3519","1059","3","111"
"3520","1059","3","111"
"3521","1059","3","111"
"3522","1059","7","1101111"
"3523","1059","7","1011111"
"3524","1059","5","11110"
"3525","1059","6","111011"
"3526","1059","5","01000"
"3527","1059","6","010000"
"3528","1059","6","101111"
"3529","1059","3","111"
"3530","1060","3","000"
"3531","1060","6","110000"
"3532","1060","3","110"
"3533","1060","6","001011"
"3534","1060","7","0001111"
"3535","1060","5","00000"
"3536","1060","7","1001111"
"3537","1060","7","0001111"
"3538","1060","5","01111"
"3539","1061","7","1111110"
"3540","1061","7","1111110"
"3541","1061","4","1111"
"3542","1061","4","0111"
"3543","1061","4","1111"
"3544","1061","3","101"
"3545","1062","3","000"
"3546","1062","10","1111111111"
"3547","1062","6","111111"
"3548","1062","6","111111"
"3549","1062","9","111111111"
"3550","1062","6","100111"
"3551","1063","7","00000000000000"
"3552","1063","15","000000000000000"
"3553","1063","14","00000000000000"
"3554","1064","4","1111"
"3555","1064","4","1111"
"3556","1066","3","0"
"3557","1066","6","0"
"3558","1066","6","000010"
"3559","1066","7","0000000"
"3560","1066","5","00000"
"3561","1066","5","01000"
"3562","1066","6","000000"
"3563","1067","4","1101"
"3564","1067","3","101"
"3565","1067","6","100111"
"3566","1067","5","10111"
"3567","1067","7","1111101"
"3568","1067","3","011"
"3569","1067","4","1111"
"3570","1068","3","111"
"3571","1068","6","011111"
"3572","1068","5","11111"
"3573","1069","3","111"
"3574","1069","3","111"
"3575","1069","4","1111"
"3576","1069","4","1111"
"3577","1070","6","111111"
"3578","1070","7","1111011"
"3579","1070","7","1111111"
"3580","1070","8","01111111"
"3581","1070","4","1111"
"3582","1070","4","1111"
"3583","1070","4","1111"
"3584","1071","3","00000"
"3585","1071","8","00000"
"3586","1071","9","000000000"
"3587","1071","10","0000000000"
"3588","1071","9","000000000"
"3589","1071","8","00000000"
"3590","1071","8","00000000"
"3591","1071","6","000000"
"3592","1072","6","111111"
"3593","1072","4","1111"
"3594","1073","8","11111111"
"3595","1073","8","11111111"
"3596","1073","7","1111111"
"3597","1073","5","00000"
"3598","1074","3","11"
"3599","1074","3","11"
"3600","1074","6","111111"
"3601","1074","4","1101"
"3602","1074","6","001111"
"3603","1074","5","01111"
"3604","1074","5","11111"
"3605","1074","5","11111"
"3606","1074","4","1111"
"3607","1075","3","1"
"3608","1075","4","1"
"3609","1075","11","11111011111"
"3610","1075","8","00000000"
"3611","1075","6","111111"
"3612","1075","6","111101"
"3613","1075","6","111111"
"3614","1075","7","1111011"
"3615","1075","5","11111"
"3616","1076","3","1"
"3617","1076","8","11111111"
"3618","1077","8","11111111"
"3619","1077","7","1011110"
"3620","1077","5","11111"
"3621","1077","7","1111111"
"3622","1078","6","000000"
"3623","1078","6","000000"
"3624","1078","5","00100"
"3625","1078","10","1111111111"
"3626","1078","10","1111111111"
"3627","1079","4","0"
"3628","1079","9","0"
"3629","1079","6","000000"
"3630","1079","6","110111"
"3631","1079","4","1111"
"3632","1079","8","11110111"
"3633","1079","7","1111101"
"3634","1079","7","0110111"
"3635","1080","3","011"
"3636","1080","5","10110"
"3637","1080","6","111111"
"3638","1080","6","111111"
"3639","1080","8","01010101"
"3640","1080","5","01110"
"3641","1080","4","1110"
"3642","1080","4","0111"
"3643","1080","4","1111"
"3644","1080","6","111111"
"3645","1080","6","101111"
"3646","1080","3","111"
"3647","1081","5","1"
"3648","1081","5","1"
"3649","1081","8","11111111"
"3650","1081","9","000000000"
"3651","1081","8","11111111"
"3652","1081","7","0000000"
"3653","1081","4","0000"
"3654","1081","8","00000001"
"3655","1081","6","000000"
"3656","1081","13","1011011110111"
"3657","1081","7","1111110"
"3658","1081","8","11111101"
"3659","1081","10","0111101111"
"3660","1082","3","111"
"3661","1082","4","111"
"3662","1082","4","111"
"3663","1082","5","11111"
"3664","1082","8","11111111"
"3665","1082","6","011010"
"3666","1083","7","1110011"
"3667","1083","6","110011"
"3668","1083","5","11111"
"3669","1083","3","000"
"3670","1083","4","0000"
"3671","1084","8","11111111"
"3672","1084","5","11111"
"3673","1084","3","111"
"3674","1084","3","111"
"3675","1085","7","0000000"
"3676","1085","7","1111010"
"3677","1085","7","1111111"
"3678","1085","9","111111111"
"3679","1085","9","111111111"
"3680","1085","4","1111"
"3681","1085","4","0000"
"3682","1085","6","011111"
"3683","1086","3","01"
"3684","1086","4","0000"
"3685","1086","7","1111111"
"3686","1086","9","101111011"
"3687","1086","8","11111111"
"3688","1086","5","11111"
"3689","1086","5","11111"
"3690","1086","6","111111"
"3691","1087","5","0"
"3692","1087","6","0"
"3693","1087","9","0"
"3694","1087","9","101111101"
"3695","1087","6","000000"
"3696","1087","11","11111110111"
"3697","1087","10","1111111011"
"3698","1087","8","11110111"
"3699","1087","7","1111011"
"3700","1088","3","00000000000"
"3701","1088","3","00000000000"
"3702","1088","6","000000"
"3703","1088","8","00011000"
"3704","1088","5","10001"
"3705","1088","17","00000000000000000"
"3706","1089","4","0001"
"3707","1090","6","00000000000"
"3708","1090","15","111011111110111"
"3709","1090","4","0000"
"3710","1091","4","0100"
"3711","1091","3","000"
"3712","1091","3","000"
"3713","1091","3","000"
"3714","1091","3","000"
"3715","1092","4","0000000"
"3716","1092","6","011100"
"3717","1092","7","1011011"
"3718","1092","7","1101111"
"3719","1092","8","10110111"
"3720","1092","13","1011011111111"
"3721","1092","12","111011111111"
"3722","1092","8","00000000"
"3723","1093","10","0000001011"
"3724","1093","12","000000000000"
"3725","1093","8","01111111"
"3726","1093","14","00000000000000"
"3727","1094","3","1"
"3728","1095","6","0111111111111"
"3729","1095","10","1111111111"
"3730","1095","7","1111111"
"3731","1095","8","00000000"
"3732","1095","8","00000000"
"3733","1095","4","0111"
"3734","1096","13","0000000000000"
"3735","1096","10","0000000000"
"3736","1096","7","0000000"
"3737","1096","9","000000000"
"3738","1096","4","0000"
"3739","1097","3","1"
"3740","1097","4","1111"
"3741","1097","5","00000"
"3742","1097","10","1111111111"
"3743","1097","6","111111"
"3744","1097","6","000000"
"3745","1097","8","11111111"
"3746","1097","8","11111111"
"3747","1097","9","011111111"
"3748","1097","7","1111111"
"3749","1097","8","11111111"
"3750","1097","3","111"
"3751","1098","10","0000000000"
"3752","1098","10","0000000000"
"3753","1098","8","00000000"
"3754","1098","10","0000000000"
"3755","1098","13","0000000000000"
"3756","1098","16","0000000000000000"
"3757","1098","11","00000000000"
"3758","1098","11","00000000000"
"3759","1098","4","0000"
"3760","1099","8","00011111"
"3761","1100","9","1"
"3762","1100","10","1"
"3763","1100","7","0000000"
"3764","1100","6","000000"
"3765","1100","4","0000"
"3766","1100","3","110"
"3767","1100","15","000000000000000"
"3768","1100","7","1111100"
"3769","1100","14","00000000000000"
"3770","1100","8","10010111"
"3771","1100","15","000000000000000"
"3772","1100","14","00011001000100"
"3773","1100","6","000111"
